,ClientID,AgeEntry,AgeExit,Gender,Race,Ethnicity,Veteran
0,397941,60.0,61.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
1,130335,48.0,48.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
2,188933,42.0,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
3,168290,57.0,57.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
4,123122,51.0,51.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
5,363382,30.0,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
6,165730,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
7,291392,56.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
8,359808,60.0,60.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
9,385539,59.0,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
10,360237,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
11,403745,31.0,31.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
12,404039,44.0,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
13,381869,75.0,75.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
14,397313,40.0,40.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
15,185069,42.0,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
16,399028,51.0,52.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
17,361024,50.0,50.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
18,324453,45.0,45.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
19,395548,55.0,55.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
20,393111,49.0,49.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
21,379956,50.0,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
22,397202,26.0,26.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
23,251488,49.0,49.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
24,395541,61.0,61.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
25,381870,53.0,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
26,392383,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
27,318262,36.0,36.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
28,381470,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
29,309651,26.0,26.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
30,333120,37.0,37.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
31,373187,51.0,52.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
32,362567,45.0,45.0,Female,White (HUD),Hispanic/Latino (HUD),No (HUD)
33,158414,58.0,58.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
34,401630,23.0,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
35,401763,53.0,53.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
36,314853,54.0,54.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
37,400077,42.0,42.0,Female,White (HUD),Data not collected (HUD),No (HUD)
38,386115,52.0,52.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
39,399904,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
40,394031,41.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
41,402258,40.0,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
42,403050,23.0,23.0,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
43,383149,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
44,387590,38.0,38.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
45,403483,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
46,224787,65.0,65.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
47,225552,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
48,392386,61.0,62.0,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
49,262238,19.0,19.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
50,384147,59.0,59.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
51,403049,63.0,63.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
52,361597,47.0,48.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
53,365130,23.0,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
54,382672,55.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
55,397312,42.0,42.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
56,156978,34.0,34.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
57,398931,51.0,51.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
58,399459,53.0,53.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
59,384776,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
60,333631,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
61,166457,52.0,52.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
62,219392,29.0,29.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
63,397427,60.0,60.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
64,187276,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
65,217836,55.0,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
66,190759,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
67,397646,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
68,402256,37.0,37.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
69,296887,61.0,61.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
70,381763,35.0,35.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
71,195489,41.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
72,143061,60.0,60.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
73,399250,30.0,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
74,406857,38.0,38.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
75,181734,52.0,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
76,162076,43.0,43.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
77,208663,25.0,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
78,402257,22.0,22.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
79,407754,30.0,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
80,407001,58.0,58.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
81,405094,52.0,52.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
82,319129,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
83,406576,44.0,44.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
84,330427,68.0,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
85,10107,59.0,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
86,167439,64.0,64.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
87,203783,54.0,54.0,Male,Black or African American (HUD),Hispanic/Latino (HUD),No (HUD)
88,351504,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
89,167911,64.0,64.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
90,316159,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
91,402130,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
92,387703,39.0,39.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
93,370346,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
94,280121,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
95,403361,52.0,52.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
96,403936,37.0,37.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
97,373323,50.0,50.0,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
98,404041,44.0,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
99,281794,44.0,44.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
100,288078,36.0,36.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
101,253473,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
102,128049,56.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
103,365130,23.0,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
104,399024,50.0,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
105,294505,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
106,408793,39.0,39.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
107,169662,40.0,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
108,368692,33.0,33.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
109,395939,57.0,58.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
110,402258,40.0,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
111,333631,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
112,172864,24.0,25.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
113,404523,46.0,46.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
114,408496,44.0,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
115,278004,43.0,43.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
116,408494,31.0,31.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
117,375893,44.0,44.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
118,399340,20.0,20.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
119,173737,31.0,32.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
120,106155,56.0,56.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
121,275835,49.0,50.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
122,313400,48.0,48.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
123,260878,30.0,31.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
124,409235,53.0,53.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
125,407019,61.0,61.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
126,169422,32.0,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
127,409236,42.0,42.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
128,65851,50.0,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
129,409062,34.0,34.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
130,167279,50.0,50.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
131,373731,27.0,27.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
132,333631,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
133,280121,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
134,291392,56.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
135,378313,49.0,49.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
136,103533,56.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
137,231530,40.0,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
138,231530,40.0,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
139,123122,51.0,51.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
140,330427,68.0,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
141,409450,27.0,27.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
142,403186,22.0,22.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
